,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,STEIN,BAYESIAN,LIKELIHOOD_STD,BW,N_MODELS,OPTIMIZER,LR,BATCH_SIZE,EARLY_STOPPING,STRIDE,WEIGHTING,MAKE_GIF,TITLE,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,EXTRA_STD,SHOW_DIAGNOSTICS,SHOW_PLOT,tuning_count,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,train_acc,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_coverage,METRIC_median_avg_inverval_score,METRIC_uncertainty_vs_accuracy_slope_quantile,METRIC_uncertainty_vs_accuracy_cor_quantile,METRIC_extrapolation_uncertainty_vs_proximity_slope_quantile,METRIC_uncertainty_vs_proximity_cor_quantile,METRIC_interpolation_uncertainty_vs_proximity_slope_quantile,METRIC_extrapolation_uncertainty_spread_quantile,METRIC_interpolation_uncertainty_spread_quantile,filename,STATE_DICT_PATH
0,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,False,False,0,,30,Adam,0.0005,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,1,6349.0,299,6348,290.1505446434021,25.0,0.15,15.0,0.002635704493150115,0.020843977108597755,0.020947692915797234,0.015899594873189926,0.01603465899825096,0.050512224435806274,0.05103108286857605,0.007287254557013512,0.1666666716337204,0.02010779082775116,-0.0720962353729693,-0.043221984920692305,0.18434927093576686,0.7426190061365293,0.017890225684343484,0.16202369332313538,0.010909318923950195,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_21-56-35 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_21-56-35 (1).pth
1,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,False,False,0,,30,Adam,0.0005,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,1,6849.0,299,6848,313.13885164260864,75.0,0.05,15.0,0.0026183287457873425,0.021042704582214355,0.021032018586993217,0.01604766584932804,0.016008764505386353,0.05064624547958374,0.05005306005477905,0.00810626707971096,0.30000001192092896,0.021705245599150658,0.10544597117367142,0.040843301277565525,0.1908772287173248,0.7929266746589257,0.022365689341179315,0.15772071480751038,0.012192647904157639,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_21-56-35 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_21-56-35 (2).pth
2,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,False,False,0,,30,Adam,0.0005,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,1,8849.0,299,8848,399.6091501712799,75.0,0.15,15.0,0.002282610582187772,0.023114662617444992,0.022861892357468605,0.017618974670767784,0.017531700432300568,0.05391407012939453,0.052044838666915894,0.01105893962085247,0.1666666716337204,0.027780378237366676,2.220952329967236,0.4182567554375968,0.2170270735166333,0.7342558902906863,0.02223481194479661,0.17918971180915833,0.014495227485895157,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_21-56-35 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_21-56-35 (3).pth
3,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,False,False,0,,30,Adam,0.0005,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,1,4399.0,299,4398,209.10272002220154,25.0,0.05,15.0,0.002943135487536589,0.020505283027887344,0.020175734534859657,0.015392104163765907,0.015163899399340153,0.05115118622779846,0.05128476023674011,0.007190505973994732,0.23333334922790527,0.0171976275742054,1.0906488056414883,0.25042864273423765,0.09464227147308608,0.7068115291484716,0.016872301024829523,0.05543249845504761,0.017962954938411713,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_21-56-35.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_21-56-35.pth
4,cuda,float,2022,univar_missing_middle_normalized_12,univar_NN.univar_NN_100_100,False,False,0,,30,Adam,0.001,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,2,11849.0,3399,11848,301.13977122306824,25.0,0.05,15.0,0.0031919338429967563,0.019136710092425346,0.019063113257288933,0.014411263167858124,0.014308678917586803,0.05001145601272583,0.05032786726951599,0.009110883809626102,0.30000001192092896,0.022462859749794006,-0.08188588036173425,-0.028377541240928564,0.15436733488657123,0.9866113644548643,0.07881399074884604,0.10483452677726746,0.0329945832490921,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_22-03-22 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_22-03-22 (1).pth
5,cuda,float,2022,univar_missing_middle_normalized_12,univar_NN.univar_NN_100_100,False,False,0,,30,Adam,0.001,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,2,14349.0,3399,14348,362.7937979698181,75.0,0.05,15.0,0.0030674359450737635,0.019218940287828445,0.01921926997601986,0.014356379397213459,0.014391109347343445,0.04944834113121033,0.04946565628051758,0.006388107780367136,0.2666666805744171,0.020307859405875206,0.27967127008568105,0.057757104706446294,0.15085010473792212,0.9739260587853203,0.09073401032195948,0.10269662737846375,0.03675536811351776,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_22-03-22 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_22-03-22 (2).pth
6,cuda,float,2022,univar_missing_middle_normalized_12,univar_NN.univar_NN_100_100,False,False,0,,30,Adam,0.001,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,2,20000.0,3399,20000,513.0764992237091,,,,0.002856687471891443,0.019768284633755684,0.0196989793330431,0.014898908324539661,0.01488538272678852,0.04929199814796448,0.04956945776939392,0.007102698087692261,0.30000001192092896,0.020984873175621033,1.0797196129388784,0.19332371710117252,0.14002449188188348,0.8825414835292713,0.07734012961316804,0.07521232962608337,0.034799326211214066,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_22-03-22 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_22-03-22 (3).pth
7,cuda,float,2022,univar_missing_middle_normalized_12,univar_NN.univar_NN_100_100,False,False,0,,30,Adam,0.001,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,2,21649.0,3399,21648,550.0521142482758,25.0,0.15,15.0,0.002793473020816843,0.019726814702153206,0.01989145204424858,0.014933443628251553,0.015071764588356018,0.049476176500320435,0.04996892809867859,0.007226546760648489,0.3333333432674408,0.019641201943159103,0.4863706187458666,0.11245220720141595,0.18465752331193974,0.959396668448823,0.10700106358399412,0.0996202826499939,0.04511457309126854,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_22-03-22 (4).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_22-03-22 (4).pth
8,cuda,float,2022,univar_missing_middle_normalized_12,univar_NN.univar_NN_100_100,False,False,0,,30,Adam,0.001,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,2,24149.0,3399,24148,636.8284208774567,75.0,0.15,15.0,0.002733431446055571,0.020125333219766617,0.02015286684036255,0.015277058817446232,0.015350336208939552,0.04959261417388916,0.050233662128448486,0.007089319638907909,0.36666667461395264,0.0207328200340271,0.9105141879464458,0.27965798856049706,0.22205974284720292,0.9718031214216538,0.15361504542666296,0.15194281935691833,0.06120545417070389,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_22-03-22 (5).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_22-03-22 (5).pth
9,cuda,float,2022,univar_missing_middle_normalized_12,univar_NN.univar_NN_100_100,False,False,0,,30,Adam,0.001,64,True,15,placeholder value,False,title of my gif,50,24,48,6,True,False,False,False,2,10000.0,3399,10000,252.75741457939148,,,,0.0032828502046565217,0.019108977168798447,0.018937822431325912,0.014233216643333435,0.01409844122827053,0.049961477518081665,0.04988148808479309,0.008567213080823421,0.30000001192092896,0.021039403975009918,-0.06530467441286764,-0.025179332509618315,0.16766497032706762,0.9750000048532314,0.06986684945294362,0.1185835599899292,0.029273025691509247,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\2025-05-15_22-03-22.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\frequentist\hyperparameter_search\experimental_models\2025-05-15_22-03-22.pth
