,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,DROPOUT,STEIN,BAYESIAN,LIKELIHOOD_STD,BW,N_MODELS,OPTIMIZER,BATCH_SIZE,EARLY_STOPPING,STRIDE,WEIGHTING,MAKE_GIF,TITLE,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,EXTRA_STD,SHOW_DIAGNOSTICS,SHOW_PLOT,tuning_count,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_95_coverage,METRIC_median_avg_inverval_score,METRIC_quantile_uncertainty_vs_accuracy_slope,METRIC_quantile_uncertainty_vs_accuracy_cor,METRIC_extrapolation_quantile_uncertainty_vs_proximity_slope,METRIC_quantile_uncertainty_vs_proximity_cor,METRIC_interpolation_quantile_uncertainty_vs_proximity_slope,METRIC_extrapolation_quantile_uncertainty_spread,METRIC_interpolation_quantile_uncertainty_spread,METRIC_interpolation_quantile_uncertainty_min,METRIC_pm2_std_uncertainty_vs_accuracy_slope,METRIC_pm2_std_uncertainty_vs_accuracy_cor,METRIC_extrapolation_pm2_std_uncertainty_vs_proximity_slope,METRIC_pm2_std_uncertainty_vs_proximity_cor,METRIC_interpolation_pm2_std_uncertainty_vs_proximity_slope,METRIC_extrapolation_pm2_std_uncertainty_spread,METRIC_interpolation_pm2_std_uncertainty_spread,METRIC_interpolation_pm2_std_uncertainty_min,filename,STATE_DICT_PATH
10,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,4,30000.0,24900,30000,1129.7664506435394,,,,0.01674065738916397,0.01701487973332405,0.01359784509986639,0.01413397304713726,0.03648024797439575,0.037874430418014526,0.007582865189760923,0.3333333432674408,0.03157497197389603,6.8160961140308896,0.2906365131214987,0.48005433038987927,0.8162794551154663,0.09802822946155168,0.3218595087528229,0.06447236239910126,0.001034427434206009,3.1848649082541374,0.1358230483115197,0.4847635572258299,0.8974024734326664,0.11191865084944969,0.31793731451034546,0.0536879226565361,0.0015054651303216815,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_20-45-49 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_20-45-49 (2).pth
11,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,4,10000.0,10000,10000,377.8733620643616,,,,0.017411518841981888,0.018352892249822617,0.013819405809044838,0.01422223262488842,0.048594869673252106,0.054794713854789734,0.007578292861580849,0.5333333611488342,0.03420214354991913,8.501751835924866,0.504363392404917,0.31426032045153285,0.9336995732548448,0.12407953222362758,0.26333630084991455,0.06279554218053818,0.0010992884635925293,9.364577402745757,0.6546035731497205,0.4024275601767484,0.7430692422445727,0.06197254298998559,0.37347573041915894,0.04344571754336357,0.003133713733404875,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_20-45-49.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_20-45-49.pth
12,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,5,20000.0,13150,20000,1816.9944245815277,,,,0.019495239481329918,0.019311843439936638,0.014336354099214077,0.014310985803604126,0.05246493220329285,0.052491605281829834,0.0072609796188771725,0.30000001192092896,0.023724645376205444,0.2751650511419718,0.03434765974342908,0.25489682338850966,0.8649097889410189,0.052570474551206114,0.1741485595703125,0.02789095789194107,0.0012049973011016846,0.2039784714114009,0.024948941256771343,0.2410234625638403,0.9043517969110247,0.05516051186510861,0.1330922245979309,0.025533180683851242,0.0017159654526039958,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_21-04-45 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_21-04-45 (1).pth
13,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,5,30000.0,13150,30000,2709.9793648719788,,,,0.019399957731366158,0.019532499834895134,0.01416331622749567,0.014519727788865566,0.05213052034378052,0.05220818519592285,0.007450292352586985,0.2666666805744171,0.025287799537181854,0.2904909060576728,0.03540022529190122,0.34480383936539183,0.8938369511895112,0.06883736518627814,0.23893055319786072,0.03270075097680092,0.0009764134883880615,0.40835148417980244,0.04921301828145683,0.28228683651298164,0.9092005352836561,0.06912362098354591,0.15224018692970276,0.028007298707962036,0.000856060883961618,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_21-04-45 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_21-04-45 (2).pth
14,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,5,10000.0,10000,10000,911.9182105064392,,,,0.01979014091193676,0.02034083381295204,0.01467164047062397,0.015002189204096794,0.05459275841712952,0.06177645921707153,0.007076294161379337,0.30000001192092896,0.028104528784751892,0.4973047209766833,0.08419859653392339,0.27646103748752504,0.7335466459595125,0.033511066316858525,0.20284372568130493,0.0208248570561409,0.0013995766639709473,0.22525121657022354,0.04519259476889426,0.18317626784134272,0.7372263998371266,0.043684752167615394,0.1396951675415039,0.02381727285683155,0.0011821663938462734,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_21-04-45.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_21-04-45.pth
15,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,6,17949.0,13900,17948,1479.2858426570892,25.0,0.05,15.0,0.01650933176279068,0.017544178292155266,0.01385837234556675,0.014893888495862484,0.035704582929611206,0.04280373454093933,0.00799169484525919,0.4333333671092987,0.03692704439163208,2.9408843012275545,0.13562664825465612,1.1595700599776213,0.7548458181180003,0.05158128321111012,0.8850322961807251,0.03951167315244675,0.0006766021251678467,3.630736937716256,0.19736126436473814,1.3520409671245828,0.8941168785220664,0.23163384890491975,0.9541357159614563,0.1416853815317154,0.0008000998059287667,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_21-50-04 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_21-50-04 (1).pth
16,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,6,20000.0,13900,20000,1673.28950715065,,,,0.016835421323776245,0.017912443727254868,0.01418514084070921,0.015117065981030464,0.03721332550048828,0.04354888200759888,0.007442742586135864,0.4333333671092987,0.03456593304872513,4.204514573242662,0.19511782214336484,1.3048925798312914,0.8173382199374648,0.06539795343679447,1.0240082740783691,0.04448676109313965,0.0008462928235530853,5.3454777542708225,0.2909653468878179,1.3978860280205083,0.9157573472600093,0.24555027919163358,0.9360873103141785,0.1516401469707489,0.0013339791912585497,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_21-50-04 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_21-50-04 (2).pth
17,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,6,20449.0,13900,20448,1709.9643261432648,75.0,0.05,15.0,0.01666044257581234,0.017861604690551758,0.014009562321007252,0.015002366155385971,0.03492811322212219,0.043406277894973755,0.007702221628278494,0.4333333671092987,0.033997759222984314,6.50685419113044,0.26934095699786575,1.511602316850259,0.795856254454629,0.06930998130109559,1.1553940773010254,0.04834804683923721,0.0007714852690696716,6.217169932450639,0.3163207611016954,1.455594980074515,0.9073233274247763,0.26320997591895906,0.9893770813941956,0.15773624181747437,0.0010765832848846912,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_21-50-04 (3).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_21-50-04 (3).pth
18,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,6,29449.0,13900,29448,2978.5013399124146,25.0,0.15,15.0,0.016365371644496918,0.017941681668162346,0.013659932650625706,0.015058442950248718,0.034573644399642944,0.04469805955886841,0.00821888167411089,0.4333333671092987,0.03642306849360466,4.6397464741590575,0.14982350688406756,1.5831329164350267,0.8850175403162209,0.10435888900563788,1.1859827041625977,0.05257672816514969,0.0006143003702163696,6.291931304346723,0.26430785192658834,1.8961090745301503,0.9819357509893538,0.2708657270910343,1.2579805850982666,0.1488245278596878,0.0006889103096909821,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_21-50-04 (4).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_21-50-04 (4).pth
19,cuda,float,2025,univar_missing_middle_normalized_12_cross_fold,univar_NN.univar_NN_30_30_30_30,,False,False,0,,25,Adam,64,True,15,N/A,False,title of my gif,50,24,48,6,True,False,False,False,6,30000.0,13900,30000,3072.6273913383484,,,,0.016252705827355385,0.01774074323475361,0.013544367626309395,0.014814240857958794,0.03408429026603699,0.04418954253196716,0.00795736163854599,0.4333333671092987,0.03435409814119339,4.2944026812278,0.14061159701433373,1.5368874170986508,0.8826933897530954,0.10217593501865838,1.1527596712112427,0.05363751947879791,0.0008562877774238586,5.903033543301128,0.2524779656599361,1.921876762978123,0.9803229051329893,0.27066565735917475,1.2785629034042358,0.14838925004005432,0.0010256449459120631,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\2025-10-22_21-50-04 (5).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble_for_baseline\hyperparameter_search\experimental_models\2025-10-22_21-50-04 (5).pth
